T,neff_he4,neff_he3
2,1.5372317975181455,0.30759498999664797
3,3.713850484791454,-1.2270620773975585
4,10.531116211931339,-3.4863888435641606
5,26.754605004223706,-6.107623568051292
6,57.70727867988838,-8.794723149459966
7,101.01324907080681,-11.573402569116045
8,134.84800345664928,-14.61548025437638
9,139.7724378850304,-18.13324947667585
10,125.29376508125877,-22.382370601913482
11,106.80444664786722,-27.71975541611775
12,90.72895753692598,-34.70417640044458
14,68.36006996517133,-58.41697863928879
17,50.17232634104658,-240.8250862440895
20,40.48623068821744,183.6307759281421
25,31.85928521641988,58.51537898533414
30,27.177528846654887,39.212034739756284
40,22.220016340054784,26.921526761582182
60,17.956113870496917,19.63855575656156
100,14.771711897744945,15.345859106849181
200,12.188597857468247,12.331303026501018
